PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=26.3 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=21.6 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=26.3 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=25.5 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=24.1 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=19.8 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=27.8 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=25.9 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=30.1 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=27.0 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=26.0 ms
