iteration udp_throughput
1 1
2 12.98202114
3 0.02277152
4 0.09919844
5 0.13711601999999998
6 1.09576367
7 10.54094252
8 0.11625150999999999
9 0.6553267199999999
10 2.04312533
11 4.29038841
12 1.92827071
13 1.92827071
14 1.64089206
15 2.64259673
16 3.62002937
17 2.3104476099999998
18 2.8405243700000002
19 2.46707629
20 2.8405243700000002
21 2.16989271
22 7.11552397
23 0.84650543
24 4.33405918
25 2.8405243700000002
26 2.3104476099999998
27 1.48634099
28 7.00674422
29 0.90784052
30 9.26233135
31 0.8182205300000001
32 4.818816610000001
33 1.48634099
34 10.54094252
